Date,Close,Volume,Open,High,Low
2018-08-09,70.49,84759000,73.11,73.402,69.146
2018-08-08,74.07,122677100,73.818,76.528,73.42399999999999
2018-08-07,75.91,152982000,68.768,77.492,67.83
2018-08-06,68.4,42683830,69.092,70.99600000000001,68.36399999999999
2018-08-03,69.63,68233200,69.562,71.0,68.506
2018-08-02,69.91,115795800,65.688,69.998,64.632
2018-08-01,60.17,43840495,59.598,60.6,58.6
2018-07-31,59.63,25275470,58.45,59.663999999999994,57.81399999999999
2018-07-30,58.03,33997905,59.18,59.22,57.226000000000006
2018-07-27,59.44,28473450,61.45,61.5387,59.0681
2018-07-26,61.33,23097835,60.97,62.14,60.7282
2018-07-25,61.75,35156910,59.348,61.924,58.9005
2018-07-24,59.49,47930930,60.8842,61.5434,58.50899999999999
2018-07-23,60.64,54874100,60.368,61.1,58.571999999999996
2018-07-20,62.72,25799155,64.24600000000001,64.648,62.3419
2018-07-19,64.05,29535580,63.266000000000005,64.708,62.802
2018-07-18,64.77,28050425,65.0,65.1,63.25
2018-07-17,64.54,34938910,61.762,64.94800000000001,61.7
2018-07-16,62.02,39002270,62.342,63.032,61.25
2018-07-13,63.77,29333880,63.11600000000001,63.917,61.85
2018-07-12,63.34,28559255,64.286,64.646,62.553999999999995
2018-07-11,63.79,24392975,63.16,64.388,63.013999999999996
2018-07-10,64.49,47187785,64.91199999999999,65.5354,63.84
2018-07-09,63.7,37897705,62.398,63.70399999999999,61.6
2018-07-06,61.78,44300990,60.99100000000001,62.413999999999994,60.4
2018-07-05,61.83,87287850,62.751999999999995,62.878,59.244
2018-07-03,62.17,61413200,66.35,66.498,61.938
2018-07-02,67.01,93663550,72.014,72.956,65.97
2018-06-29,68.59,32379515,70.666,70.77199999999999,68.482
2018-06-28,69.99,41940860,69.732,71.404,69.222
2018-06-27,68.9,41569085,69.0,70.158,67.9
2018-06-26,68.4,37173745,67.2108,68.71,65.1598
2018-06-25,66.6,34625445,66.024,67.694,65.5
2018-06-22,66.73,51268850,70.308,70.45,66.4
2018-06-21,69.5,39749230,72.4,73.2428,69.25399999999999
2018-06-20,72.44,41851340,71.608,72.876,70.4
2018-06-19,70.51,63674200,73.032,74.0,69.25
2018-06-18,74.17,60127250,71.08,74.74600000000001,70.9
2018-06-15,71.63,54137800,70.768,72.934,70.25
2018-06-14,71.54,54805750,69.52600000000001,71.75,69.32
2018-06-13,68.96,47007335,69.3412,69.44,67.96
2018-06-12,68.55,111282150,68.94,70.994,67.6
2018-06-11,66.42,65830250,64.502,66.932,64.5
2018-06-08,63.53,40960875,63.8,64.896,63.43
2018-06-07,63.22,71680550,63.23,66.0,62.716
2018-06-06,63.9,93712000,60.1,64.434,59.496
2018-06-05,58.23,29389365,59.54,59.56,57.348
2018-06-04,59.35,23968935,58.868,59.8,58.7096
2018-06-01,58.36,27089920,57.172,58.39,56.7678
2018-05-31,56.95,29564125,57.442,58.074,56.586000000000006
2018-05-30,58.34,37367950,56.658,59.001000000000005,56.32
2018-05-29,56.75,28285765,55.702,57.3,55.23
2018-05-25,55.77,19363105,55.525,55.928000000000004,55.122
2018-05-24,55.57,20853945,55.68,56.222,54.978
2018-05-23,55.81,29861185,55.552,55.982,54.8
2018-05-22,55.0,44692505,57.5524,57.6,54.6844
2018-05-21,56.9,45839220,56.266000000000005,58.298,56.26
2018-05-18,55.36,36218495,56.93,56.93,54.8
2018-05-17,56.91,22091290,57.18,57.8375,56.794
2018-05-16,57.3,28348220,56.766000000000005,57.762,56.312
2018-05-15,56.84,47548765,57.001999999999995,57.391999999999996,56.1
2018-05-14,58.39,36327505,60.663999999999994,60.988,58.324
2018-05-11,60.21,23326605,61.54,61.776,59.816
2018-05-10,61.0,28213855,61.4999,62.598,60.8224
2018-05-09,61.37,28561275,60.082,61.402,60.01
2018-05-08,60.39,29637235,60.159,61.55,59.8
2018-05-07,60.55,43365450,59.5,61.1918,59.034
2018-05-04,58.82,42827530,56.6,59.372,55.903999999999996
2018-05-03,56.89,86695450,55.758,57.608000000000004,55.04600000000001
2018-05-02,60.23,41730880,59.714,61.37,59.5569
2018-05-01,59.98,23074730,58.702,60.163999999999994,58.644
2018-04-30,58.78,21120340,58.722,59.746,58.5
2018-04-27,58.82,21734270,57.074,58.894,56.766000000000005
2018-04-26,57.1,21740540,55.75,57.158,55.3
2018-04-25,56.14,20002105,56.7,57.032,55.45
2018-04-24,56.69,28391210,57.0,57.418,55.692
2018-04-23,56.67,24403715,58.258,58.324,56.466
2018-04-20,58.05,28113150,59.034,59.996,57.95
2018-04-19,60.02,30419000,58.216,60.202,57.71
2018-04-18,58.67,32657815,58.216,60.048,57.632
2018-04-17,57.54,34655760,57.773999999999994,58.434,56.501999999999995
2018-04-16,58.24,31447485,59.8,59.931999999999995,57.802
2018-04-13,60.07,36596125,60.72,60.79,59.196000000000005
2018-04-12,58.82,37977625,60.464,60.79,58.736000000000004
2018-04-11,60.19,37351020,60.148,61.79600000000001,59.931999999999995
2018-04-10,60.94,55085050,59.794,61.42,58.736000000000004
2018-04-09,57.93,51207050,60.074,61.9,57.842
2018-04-06,59.86,67582650,60.2,61.856,59.1
2018-04-05,61.14,95129300,57.868,61.251999999999995,57.64
2018-04-04,57.39,99400900,50.556000000000004,57.674,50.4
2018-04-03,53.51,94148250,53.964,54.67,50.898
2018-04-02,50.5,80466450,51.251999999999995,52.0664,48.918
2018-03-29,53.23,75072200,51.298,54.192,49.641999999999996
2018-03-28,51.56,104811400,52.916000000000004,53.736000000000004,50.42
2018-03-27,55.84,68935300,60.8,60.854,55.43600000000001
2018-03-26,60.84,41824685,61.468,61.518,58.272
2018-03-23,60.31,33199800,62.25,62.321999999999996,60.09
2018-03-22,61.82,24624640,62.778,63.763999999999996,61.636
2018-03-21,63.31,29771235,62.05,64.488,62.038000000000004
2018-03-20,62.11,23805155,62.974,63.25,61.751999999999995
2018-03-19,62.71,37339450,63.3,64.15,61.934
2018-03-16,64.27,30566825,65.192,65.48,63.81399999999999
2018-03-15,65.12,32772840,65.876,66.57,64.22
2018-03-14,65.33,39760760,67.352,67.962,64.786
2018-03-13,68.37,29803180,68.984,69.024,67.2527
2018-03-12,69.1,41264595,65.722,69.442,65.3
2018-03-09,65.43,27513895,64.82,65.69800000000001,64.47399999999999
2018-03-08,65.82,17571835,66.572,66.66,65.2548
2018-03-07,66.46,25009700,65.08800000000001,66.5,64.348
2018-03-06,65.64,21182415,66.75,67.274,65.406
2018-03-05,66.67,19103510,66.47800000000001,67.55,65.8586
2018-03-02,67.02,25443945,65.396,67.044,64.594
2018-03-01,66.19,34362760,69.002,69.734,66.014
2018-02-28,68.61,30330220,70.514,71.048,68.444
2018-02-27,70.2,23925110,71.25,71.998,70.002
2018-02-26,71.48,21672500,70.7,71.8,70.471
2018-02-23,70.41,29070885,69.566,70.998,69.42
2018-02-22,69.23,34809400,67.10600000000001,69.488,66.95
2018-02-21,66.66,16036250,67.206,67.9386,66.634
2018-02-20,66.95,20029810,66.89399999999999,68.168,66.3
2018-02-16,67.1,28200920,66.5,68.624,66.328
2018-02-15,66.81,29549115,64.9,66.824,64.48
2018-02-14,64.46,19740385,64.168,65.234,63.70399999999999
2018-02-13,64.73,22773155,63.004,64.83800000000001,62.5021
2018-02-12,63.15,31122395,63.226000000000006,63.61600000000001,61.25
2018-02-09,62.08,64622150,63.986000000000004,64.1969,58.952
2018-02-08,63.05,51482100,68.66199999999999,69.72399999999999,62.92
2018-02-07,69.0,33648410,67.798,69.2,67.132
2018-02-06,66.79,25400160,65.042,67.244,64.7
2018-02-05,66.63,22205830,67.594,68.89399999999999,66.6
2018-02-02,68.75,18480785,69.688,70.39,68.102
2018-02-01,69.85,20937200,70.2,71.932,69.726
